"JOSE MIGUEL DO NASCIMENTO";"PFL";"3577";"57.95";"CASTILHO";"1985";"PREFEITO"
"RAIMUNDO PEREIRA DA SILVA";"PMDB";"2044";"33.11";"CASTILHO";"1985";"PREFEITO"
"CARLOS ROBERTO DOS SANTOS";"PDT";"234";"3.79";"CASTILHO";"1985";"PREFEITO"
"JOSE OSVALDO PASSARELLI";"PFL";"10690";"23.63";"CUBATAO";"1985";"PREFEITO"
"ARMANDO CAMPINAS REIS JUNIOR";"PMDB";"10331";"22.83";"CUBATAO";"1985";"PREFEITO"
"CARLOS FREDERICO SOARES DE CAMPOS";"PDC";"8765";"19.37";"CUBATAO";"1985";"PREFEITO"
"DOJIVAL VIEIRA DOS SANTOS";"PT";"7388";"16.33";"CUBATAO";"1985";"PREFEITO"
"CLERMONT SILVEIRA CASTOR";"PDT";"3343";"7.39";"CUBATAO";"1985";"PREFEITO"
"JOSE EDGARD DA SILVA";"PTB";"2068";"4.57";"CUBATAO";"1985";"PREFEITO"
"ALBERTO MARCELO GATO";"PCB";"765";"1.69";"CUBATAO";"1985";"PREFEITO"
"JOSE DA SILVA SILVEIRA";"PDS";"104";"0.23";"CUBATAO";"1985";"PREFEITO"
"BENEDITO DIAS DE CARVALHO";"PMDB";"5741";"41.73";"PAULINIA";"1985";"PREFEITO"
"VICENTE AMATTE";"PTB";"3953";"28.74";"PAULINIA";"1985";"PREFEITO"
"EDSON MOURA";"PL";"1322";"9.61";"PAULINIA";"1985";"PREFEITO"
"ARNALDO FANTINATTO FILHO";"PFL";"1233";"8.96";"PAULINIA";"1985";"PREFEITO"
"ADALBERTO DA CONCEICAO LEAL";"PT";"813";"5.91";"PAULINIA";"1985";"PREFEITO"
"EURIPE ARI BAIANO DA SILVA";"PDT";"177";"1.29";"PAULINIA";"1985";"PREFEITO"
"JANIO QUADROS";"PTB";"1572260";"37.52";"SAO PAULO";"1985";"PREFEITO"
"FERNANDO HENRIQUE CARDOSO";"PMDB";"1431175";"34.16";"SAO PAULO";"1985";"PREFEITO"
"EDUARDO MATARAZZO SUPLICY";"PT";"827452";"19.75";"SAO PAULO";"1985";"PREFEITO"
"FRANCISCO ROSSI";"PCN";"68305";"1.63";"SAO PAULO";"1985";"PREFEITO"
"ANA ROSA GOMES TENENTE";"PH";"45068";"1.08";"SAO PAULO";"1985";"PREFEITO"
"PEDRO GERALDO COSTA";"PPB";"27887";"0.67";"SAO PAULO";"1985";"PREFEITO"
"ANTONIO CARLOS FERNANDES";"PMC";"8107";"0.19";"SAO PAULO";"1985";"PREFEITO"
"RUY CODO";"PL";"4612";"0.11";"SAO PAULO";"1985";"PREFEITO"
"JOSE MARIA EYMAEL";"PDC";"4578";"0.11";"SAO PAULO";"1985";"PREFEITO"
"ARMANDO CORREA DA SILVA";"PMB";"4187";"0.1";"SAO PAULO";"1985";"PREFEITO"
"RIVAILDE OVIDIO";"PSC";"4066";"0.1";"SAO PAULO";"1985";"PREFEITO"
"ROGE FERREIRA";"PSB";"0";"0";"SAO PAULO";"1985";"PREFEITO"
"LUIZ ROGERIO MARTINS";"PMDB";"6223";"56.42";"SAO SEBASTIAO";"1985";"PREFEITO"
"DECIO MOREIRA GALVAO";"PFL";"3085";"27.97";"SAO SEBASTIAO";"1985";"PREFEITO"
"LUIZ CARLOS BETTIATI";"PDT";"627";"5.68";"SAO SEBASTIAO";"1985";"PREFEITO"
"ELIZABETH DOS SANTOS CHAGAS";"PT";"411";"3.73";"SAO SEBASTIAO";"1985";"PREFEITO"
