"eleicao","cargo","municipio","ibge_cod","tse_cod","turno","candidato","partido","votosnom","votosper","situacao"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","GUMERCINDO ROMANINI","PTB",4664,29.89,"ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","SERGIO GABRIEL SEIXAS","PMDB",3191,20.45,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","ANTONIO ADAHIL DUARTE CYRINO","PMDB",1648,10.56,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","FERNANDO CHAGAS FRAGA","PDS",1646,10.55,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","BONIFACIO ROSSILIO FILHO","PDS",1378,8.83,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","SIZINO MARTINS VIEIRA","PMDB",852,5.46,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","SEBASTIAO DE ALMEIDA","PDS",398,2.55,"NAO ELEITO"
1982,"PREFEITO","ADAMANTINA","3500105","61018","1","OCTAVIO ROMANINI","PT",292,1.87,"NAO ELEITO"
1982,"PREFEITO","ADOLFO","3500204","61034","1","ARCENDINO STUCHI","PMDB",589,38.8,"ELEITO"
1982,"PREFEITO","ADOLFO","3500204","61034","1","ENOS VIRGINIO DOS SANTOS","PDS",305,20.09,"NAO ELEITO"
1982,"PREFEITO","ADOLFO","3500204","61034","1","JANDYR ALVES PENTEADO","PDS",280,18.45,"NAO ELEITO"
1982,"PREFEITO","ADOLFO","3500204","61034","1","GAVINO CHESSA","PMDB",198,13.04,"NAO ELEITO"
1982,"PREFEITO","ADOLFO","3500204","61034","1","OLIVIO MIOLI","PMDB",42,2.77,"NAO ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","SEBASTIAO BIAZZO","PMDB",2657,34.98,"ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","RAMIRO DEFENDE","PDS",1639,21.58,"NAO ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","BENEDITO APARECIDO SORG RABELO","PDS",1009,13.28,"NAO ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","ALAIR JOSE FERNANDES","PMDB",1006,13.24,"NAO ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","JOSE MONTEAGUDO BARREIRA","PT",363,4.78,"NAO ELEITO"
1982,"PREFEITO","AGUAI","3500303","61050","1","EXPEDITO CANDIDO FERREIRA","PDS",159,2.09,"NAO ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","EDJALMA DE LIMA VALA","PMDB",1134,35.21,"ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","JOSUE GRESPAN","PMDB",477,14.81,"NAO ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","PAULO ROBERTO DEZENA","PDS",466,14.47,"NAO ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","MANOEL DA SILVA FERREIRA","PDS",352,10.93,"NAO ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","MANOEL CLINEU DE ANDRADE JUNQUEIRA","PDS",257,7.98,"NAO ELEITO"
1982,"PREFEITO","AGUAS DA PRATA","3500402","61077","1","JOAO DIRCEU BENEVIDES DE CARVALHO","PMDB",243,7.54,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","MARTINHO ANTONIO MARIANO","PMDB",1441,30.75,"ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","JOSE IVAN GODOY TORTELLI","PDS",1037,22.13,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","JOSE APARECIDO RAIMUNDO DE ALMEIDA","PDS",792,16.9,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","JOSE UBERTO RODRIGUES","PMDB",625,13.34,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","SEBASTIAO BERNARDINO FILHO","PDS",248,5.29,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE LINDOIA","3500501","61093","1","JOSE MARIO DIZERO RENZO","PMDB",201,4.29,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SANTA BARBARA","3500550","70190","1","PAULO APARECIDO SILVERIO","PDS",1024,46.61,"ELEITO"
1982,"PREFEITO","AGUAS DE SANTA BARBARA","3500550","70190","1","JOSE MARIANO DA SILVA","PMDB",979,44.56,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SANTA BARBARA","3500550","70190","1","ARISTIDES GARCIA","PMDB",106,4.82,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SAO PEDRO","3500600","61115","1","LEONARDO BELMIRO","PDS",377,30.26,"ELEITO"
1982,"PREFEITO","AGUAS DE SAO PEDRO","3500600","61115","1","SEBASTIAO ARA","PDS",298,23.92,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SAO PEDRO","3500600","61115","1","LOURENCO SANTOS NETO","PMDB",293,23.52,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SAO PEDRO","3500600","61115","1","BENEDITO ANTONIO ITIPAO","PMDB",114,9.15,"NAO ELEITO"
1982,"PREFEITO","AGUAS DE SAO PEDRO","3500600","61115","1","THOMAZ AQUINO MACIEL NETO","PMDB",65,5.22,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","RUBENS APARECIDO BENAZZIO","PTB",3762,34.99,"ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","ANTONIO CONDI","PDS",2023,18.82,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","ANTONIO FERNANDO DAMANTE","PDS",1943,18.07,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","LUIZ VALDEMIR TENDOLO","PMDB",804,7.48,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","JOSE IGNACIO FERREIRA","PTB",584,5.43,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","MARIA DE LURDES ALVES","PT",233,2.17,"NAO ELEITO"
1982,"PREFEITO","AGUDOS","3500709","61131","1","HAMAD MITRI ANTONIOS SALEH","PDS",41,0.38,"NAO ELEITO"
1982,"PREFEITO","ALFREDO MARCONDES","3500808","61158","1","LUIZ ANTONIO ZAMPIERI","PMDB",1324,48.86,"ELEITO"
1982,"PREFEITO","ALFREDO MARCONDES","3500808","61158","1","JOSE SOARES DE OLIVEIRA","PDS",646,23.84,"NAO ELEITO"
1982,"PREFEITO","ALFREDO MARCONDES","3500808","61158","1","GILTON HUMBERTO MORGAN AGUIAR","PMDB",493,18.19,"NAO ELEITO"
1982,"PREFEITO","ALTAIR","3500907","61174","1","RUY RODRIGUES DE CASTRO","PDS",596,47.95,"ELEITO"
1982,"PREFEITO","ALTAIR","3500907","61174","1","NOBORU UEHARA","PDS",371,29.85,"NAO ELEITO"
1982,"PREFEITO","ALTAIR","3500907","61174","1","URBANO FERREIRA DA SILVA","PMDB",136,10.94,"NAO ELEITO"
1982,"PREFEITO","ALTAIR","3500907","61174","1","HICHEL AYDAR","PMDB",41,3.3,"NAO ELEITO"
1982,"PREFEITO","ALTINOPOLIS","3501004","61190","1","CELSO VICENTINI ZUCCOLOTTO","PDS",3060,46.55,"ELEITO"
1982,"PREFEITO","ALTINOPOLIS","3501004","61190","1","JOSE FRAGA PEREIRA DA SILVA","PMDB",1920,29.21,"NAO ELEITO"
1982,"PREFEITO","ALTINOPOLIS","3501004","61190","1","IUSSEF MIGUEL IUN","PMDB",1084,16.49,"NAO ELEITO"
1982,"PREFEITO","ALTO ALEGRE","3501103","61212","1","NELSON JESUS FERLIM","PDS",1088,38.94,"ELEITO"
1982,"PREFEITO","ALTO ALEGRE","3501103","61212","1","SUSSUMI IVAMA","PMDB",763,27.31,"NAO ELEITO"
1982,"PREFEITO","ALTO ALEGRE","3501103","61212","1","PAULO ZAMBROZI","PMDB",554,19.83,"NAO ELEITO"
1982,"PREFEITO","ALTO ALEGRE","3501103","61212","1","AFONSO DOS SANTOS VICENTINO FILHO","PDS",141,5.05,"NAO ELEITO"
1982,"PREFEITO","ALTO ALEGRE","3501103","61212","1","DEVANIR RICIERI NARDO","PDS",100,3.58,"NAO ELEITO"
1982,"PREFEITO","ALVARES FLORENCE","3501202","61239","1","GENESIO PICOLO","PMDB",1670,55.06,"ELEITO"
1982,"PREFEITO","ALVARES FLORENCE","3501202","61239","1","JOAQUIM WAIDEMAN","PDS",1131,37.29,"NAO ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","ANTONIO CASTILHO CERVANTES","PMDB",1916,31.13,"ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","ELMO HENRIQUE GONCALVES MARTINS","PDS",1675,27.22,"NAO ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","DIRCEU MORAES","PMDB",1095,17.79,"NAO ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","JOSE DE ANDRADE TEIXEIRA","PDS",677,11,"NAO ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","KIOCHI TATIZAWA","PMDB",343,5.57,"NAO ELEITO"
1982,"PREFEITO","ALVARES MACHADO","3501301","61255","1","JOSE CARLOS DO NASCIMENTO","PT",66,1.07,"NAO ELEITO"
1982,"PREFEITO","ALVARO DE CARVALHO","3501400","61271","1","JOSE MENDES FILHO","PDS",571,44.13,"ELEITO"
1982,"PREFEITO","ALVARO DE CARVALHO","3501400","61271","1","JOAO RAMIRES PALHANO","PTB",263,20.32,"NAO ELEITO"
1982,"PREFEITO","ALVARO DE CARVALHO","3501400","61271","1","JOSE BISPO VARJAO","PDS",180,13.91,"NAO ELEITO"
1982,"PREFEITO","ALVARO DE CARVALHO","3501400","61271","1","ELIAS DE OLIVEIRA","PMDB",173,13.37,"NAO ELEITO"
1982,"PREFEITO","ALVINLANDIA","3501509","61298","1","ALVINO DIAS","PDS",544,43.94,"ELEITO"
1982,"PREFEITO","ALVINLANDIA","3501509","61298","1","ARNALDINO THEODORO DE LIMA","PDS",465,37.56,"NAO ELEITO"
1982,"PREFEITO","ALVINLANDIA","3501509","61298","1","JOSE RONDIVAL GUARIDO","PMDB",109,8.8,"NAO ELEITO"
1982,"PREFEITO","ALVINLANDIA","3501509","61298","1","WALMIR MAGALHAES","PTB",44,3.55,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","ABDUL HADDI OMAR NAJJAR","PDS",17478,26.24,"ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","CARROL MENEGHEL","PMDB",11622,17.45,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","FREDERICO POLO MULLER","PMDB",9295,13.96,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","MARCO ANTONIO BIASI","PMDB",7589,11.39,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","RAUL LEME BRISOLLA JUNIOR","PT",4875,7.32,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","WILSON CAMARGO","PT",1764,2.65,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","JAVERT GALASSI","PT",1598,2.4,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","JOAO BATISTA BARBOSA","PTB",1589,2.39,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","LUIZ EUCLIDES ROVINA","PDS",1026,1.54,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","JAIRO DE AZEVEDO","PTB",1005,1.51,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","GERALDO PINHANELLI","PDS",746,1.12,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","ROBERTO DOLLO","PDS",731,1.1,"NAO ELEITO"
1982,"PREFEITO","AMERICANA","3501608","61310","1","RUBENS ZAORAL","PDT",274,0.41,"NAO ELEITO"
1982,"PREFEITO","AMERICO BRASILIENSE","3501707","61336","1","OCTAVIO DOTOLI","PDS",2630,45.78,"ELEITO"
1982,"PREFEITO","AMERICO BRASILIENSE","3501707","61336","1","TERCIO DELLA ROVERE","PMDB",2452,42.68,"NAO ELEITO"
1982,"PREFEITO","AMERICO DE CAMPOS","3501806","61352","1","ESTEVAO ELIAS DAVID","PMDB",1804,47.94,"ELEITO"
1982,"PREFEITO","AMERICO DE CAMPOS","3501806","61352","1","MOACIR BRAGA","PDS",935,24.85,"NAO ELEITO"
1982,"PREFEITO","AMERICO DE CAMPOS","3501806","61352","1","JOAO VENCESLAU DOS SANTOS","PDS",515,13.69,"NAO ELEITO"
1982,"PREFEITO","AMERICO DE CAMPOS","3501806","61352","1","DAVID FERNANDES DA SILVA","PMDB",177,4.7,"NAO ELEITO"
1982,"PREFEITO","AMERICO DE CAMPOS","3501806","61352","1","DEJAIR SECATO","PDS",147,3.91,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","CARLOS PIFFER","PDS",7117,36.72,"ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","JOSE CARLOS DE OLIVEIRA","PMDB",6334,32.68,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","LAZARO JOSE DOMINGUES","PTB",2009,10.37,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","JOSE ANTONIO ROSSI","PMDB",1586,8.18,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","PAULO FRANCISCO BARBOSA","PMDB",251,1.3,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","RUBENS CELSO ROSASCO","PDS",183,0.94,"NAO ELEITO"
1982,"PREFEITO","AMPARO","3501905","61379","1","EDMUNDO KIRMAYR","PDS",102,0.53,"NAO ELEITO"
1982,"PREFEITO","ANALANDIA","3502002","61395","1","ANTONIA SODELLI GRABER","PDS",546,46.27,"ELEITO"
1982,"PREFEITO","ANALANDIA","3502002","61395","1","JOAO SEBASTIAO BERTOLETTI","PDS",429,36.36,"NAO ELEITO"
1982,"PREFEITO","ANALANDIA","3502002","61395","1","JOSE ANGELO DE MATTOS","PMDB",90,7.63,"NAO ELEITO"
1982,"PREFEITO","ANALANDIA","3502002","61395","1","IRINEU CAMARGO","PMDB",61,5.17,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","JOAO CARLOS CARREIRA","PMDB",9133,39.46,"ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","ROBERTO MIGUEL CURY","PDS",4080,17.63,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","PEDRO AYRES DE SOUZA","PMDB",2716,11.73,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","ANTONIO FRANCISCO FONZAR","PDS",1909,8.25,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","OSMAR SILVEIRA","PDS",1040,4.49,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","YNACIO AKIRA HIRATA","PTB",783,3.38,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","OSVALDO GASPARELLI","PTB",648,2.8,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","JOAO BORTOLANZA","PT",634,2.74,"NAO ELEITO"
1982,"PREFEITO","ANDRADINA","3502101","61417","1","ARNALDO SILVA LEAO","PTB",506,2.19,"NAO ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","JOSE EMILIO CARLOS LISBOA","PMDB",3451,48.11,"ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","ENIL BORIS DE MORAIS FERREIRA","PMDB",1712,23.87,"NAO ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","PAULO DE ALMEIDA LEME","PMDB",620,8.64,"NAO ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","RUBENS VIEIRA DE MORAIS","PDS",540,7.53,"NAO ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","BENEDITO HENRIQUE HERGESSEL","PTB",122,1.7,"NAO ELEITO"
1982,"PREFEITO","ANGATUBA","3502200","61433","1","ALICE QUINTILIANO DE CAMARGO","PDT",35,0.49,"NAO ELEITO"
1982,"PREFEITO","ANHEMBI","3502309","61450","1","IRACY MARIO GUGLIEMO MEZZENA","PDS",707,35.07,"ELEITO"
1982,"PREFEITO","ANHEMBI","3502309","61450","1","ABRAO JACOB","PDS",386,19.15,"NAO ELEITO"
1982,"PREFEITO","ANHEMBI","3502309","61450","1","PAULO JOSE CONCEICAO","PMDB",366,18.15,"NAO ELEITO"
1982,"PREFEITO","ANHEMBI","3502309","61450","1","SERGIO FELIX DO PRADO","PMDB",293,14.53,"NAO ELEITO"
1982,"PREFEITO","ANHEMBI","3502309","61450","1","BENEDITO DE QUADROS","PDS",103,5.11,"NAO ELEITO"
1982,"PREFEITO","ANHUMAS","3502408","61476","1","LUIZ ROCHEDO GARDIN","PDS",913,58.94,"ELEITO"
1982,"PREFEITO","ANHUMAS","3502408","61476","1","PAULO DELATORRE TETE","PMDB",464,29.95,"NAO ELEITO"
1982,"PREFEITO","APARECIDA","3502507","61492","1","ARISTEU VIEIRA VILELA","PMDB",4521,27.67,"ELEITO"
