"eleicao","cargo","municipio","ibge_cod","tse_cod","turno","candidato","partido","votosnom","votosper","situacao"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","JOAQUIM CARLOS DE SOUZA JACINTO","PTB",597,3.83,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","LUIZ CARLOS GALVAO","PMDB",594,3.81,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","HELIO VIEIRA MALHEIROS","PTB",538,3.45,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","ANTONIO CARLOS DALPONTE","PMDB",532,3.41,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","ADENIR GARCIA PARRA","PTB",516,3.31,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","DIRCEU PILLA","PTB",461,2.95,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","JOSE DE ALMEIDA MACIEL","PMDB",364,2.33,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","PAULO CARDIM","PMDB",325,2.08,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","CANDIDO JORGE DE LIMA","PMDB",311,1.99,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","GENESSY BATISTA DE AZEVEDO","PMDB",305,1.95,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","DINIZ PARUSSOLO MARTINS","PDS",295,1.89,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","ANTONIO GRANADO","PDS",284,1.82,"ELEITO"
1982,"VEREADOR","ADAMANTINA","3500105","61018","1","YOSHIO NODA","PDS",264,1.69,"ELEITO"
1982,"VEREADOR","ADOLFO","3500204","61034","1","VALDIR SELOTO","PMDB",151,9.95,"ELEITO"
1982,"VEREADOR","ADOLFO","3500204","61034","1","ARMANDO SERAFINE","PMDB",81,5.34,"ELEITO"
1982,"VEREADOR","ADOLFO","3500204","61034","1","JOAO BATISTA DE OLIVEIRA","PMDB",75,4.94,"ELEITO"
1982,"VEREADOR","ADOLFO","3500204","61034","1","MANOEL JOVINO DA SILVA","PMDB",74,4.87,"ELEITO"
1982,"VEREADOR","ADOLFO","3500204","61034","1","JOSE GERALDO VILLAS BOAS","PMDB",72,4.74,"ELEITO"
