"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA";"1982"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA";"1982"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA";"1982"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA";"1982"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA";"1982"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA";"1982"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA";"1982"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA";"1982"
"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA";"1982"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA";"1982"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA";"1982"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA";"1982"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA";"1982"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA";"1982"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA";"1982"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA";"1982"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO";"1982"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO";"1982"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO";"1982"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO";"1982"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO";"1982"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO";"1982"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO";"1982"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO";"1982"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO";"1982"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO";"1982"
"SEBASTIAO BIAZZO";"PMDB";"2657";"34.98";"AGUAI";"1982"
"RAMIRO DEFENDE";"PDS";"1639";"21.58";"AGUAI";"1982"
"BENEDITO APARECIDO SORG RABELO";"PDS";"1009";"13.28";"AGUAI";"1982"
