"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA"
"GUMERCINDO ROMANINI";"PTB";"4664";"29.89";"ADAMANTINA"
"SERGIO GABRIEL SEIXAS";"PMDB";"3191";"20.45";"ADAMANTINA"
"ANTONIO ADAHIL DUARTE CYRINO";"PMDB";"1648";"10.56";"ADAMANTINA"
"FERNANDO CHAGAS FRAGA";"PDS";"1646";"10.55";"ADAMANTINA"
"BONIFACIO ROSSILIO FILHO";"PDS";"1378";"8.83";"ADAMANTINA"
"SIZINO MARTINS VIEIRA";"PMDB";"852";"5.46";"ADAMANTINA"
"SEBASTIAO DE ALMEIDA";"PDS";"398";"2.55";"ADAMANTINA"
"OCTAVIO ROMANINI";"PT";"292";"1.87";"ADAMANTINA"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO"
"ARCENDINO STUCHI";"PMDB";"589";"38.8";"ADOLFO"
"ENOS VIRGINIO DOS SANTOS";"PDS";"305";"20.09";"ADOLFO"
"JANDYR ALVES PENTEADO";"PDS";"280";"18.45";"ADOLFO"
"GAVINO CHESSA";"PMDB";"198";"13.04";"ADOLFO"
"OLIVIO MIOLI";"PMDB";"42";"2.77";"ADOLFO"
"SEBASTIAO BIAZZO";"PMDB";"2657";"34.98";"AGUAI"
"RAMIRO DEFENDE";"PDS";"1639";"21.58";"AGUAI"
"BENEDITO APARECIDO SORG RABELO";"PDS";"1009";"13.28";"AGUAI"
"ALAIR JOSE FERNANDES";"PMDB";"1006";"13.24";"AGUAI"
"JOSE MONTEAGUDO BARREIRA";"PT";"363";"4.78";"AGUAI"
"EXPEDITO CANDIDO FERREIRA";"PDS";"159";"2.09";"AGUAI"
"SEBASTIAO BIAZZO";"PMDB";"2657";"34.98";"AGUAI"
"RAMIRO DEFENDE";"PDS";"1639";"21.58";"AGUAI"
"BENEDITO APARECIDO SORG RABELO";"PDS";"1009";"13.28";"AGUAI"
"ALAIR JOSE FERNANDES";"PMDB";"1006";"13.24";"AGUAI"
"JOSE MONTEAGUDO BARREIRA";"PT";"363";"4.78";"AGUAI"
"EXPEDITO CANDIDO FERREIRA";"PDS";"159";"2.09";"AGUAI"
"EDJALMA DE LIMA VALA";"PMDB";"1134";"35.21";"AGUAS DA PRATA"
"JOSUE GRESPAN";"PMDB";"477";"14.81";"AGUAS DA PRATA"
"PAULO ROBERTO DEZENA";"PDS";"466";"14.47";"AGUAS DA PRATA"
"MANOEL DA SILVA FERREIRA";"PDS";"352";"10.93";"AGUAS DA PRATA"
"MANOEL CLINEU DE ANDRADE JUNQUEIRA";"PDS";"257";"7.98";"AGUAS DA PRATA"
"JOAO DIRCEU BENEVIDES DE CARVALHO";"PMDB";"243";"7.54";"AGUAS DA PRATA"
"EDJALMA DE LIMA VALA";"PMDB";"1134";"35.21";"AGUAS DA PRATA"
"JOSUE GRESPAN";"PMDB";"477";"14.81";"AGUAS DA PRATA"
"PAULO ROBERTO DEZENA";"PDS";"466";"14.47";"AGUAS DA PRATA"
"MANOEL DA SILVA FERREIRA";"PDS";"352";"10.93";"AGUAS DA PRATA"
"MANOEL CLINEU DE ANDRADE JUNQUEIRA";"PDS";"257";"7.98";"AGUAS DA PRATA"
"JOAO DIRCEU BENEVIDES DE CARVALHO";"PMDB";"243";"7.54";"AGUAS DA PRATA"
"MARTINHO ANTONIO MARIANO";"PMDB";"1441";"30.75";"AGUAS DE LINDOIA"
"JOSE IVAN GODOY TORTELLI";"PDS";"1037";"22.13";"AGUAS DE LINDOIA"
"JOSE APARECIDO RAIMUNDO DE ALMEIDA";"PDS";"792";"16.9";"AGUAS DE LINDOIA"
"JOSE UBERTO RODRIGUES";"PMDB";"625";"13.34";"AGUAS DE LINDOIA"
"SEBASTIAO BERNARDINO FILHO";"PDS";"248";"5.29";"AGUAS DE LINDOIA"
"JOSE MARIO DIZERO RENZO";"PMDB";"201";"4.29";"AGUAS DE LINDOIA"
"MARTINHO ANTONIO MARIANO";"PMDB";"1441";"30.75";"AGUAS DE LINDOIA"
"JOSE IVAN GODOY TORTELLI";"PDS";"1037";"22.13";"AGUAS DE LINDOIA"
"JOSE APARECIDO RAIMUNDO DE ALMEIDA";"PDS";"792";"16.9";"AGUAS DE LINDOIA"
"JOSE UBERTO RODRIGUES";"PMDB";"625";"13.34";"AGUAS DE LINDOIA"
"SEBASTIAO BERNARDINO FILHO";"PDS";"248";"5.29";"AGUAS DE LINDOIA"
"JOSE MARIO DIZERO RENZO";"PMDB";"201";"4.29";"AGUAS DE LINDOIA"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA"
"PAULO APARECIDO SILVERIO";"PDS";"1024";"46.61";"AGUAS DE SANTA BARBARA"
"JOSE MARIANO DA SILVA";"PMDB";"979";"44.56";"AGUAS DE SANTA BARBARA"
"ARISTIDES GARCIA";"PMDB";"106";"4.82";"AGUAS DE SANTA BARBARA"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO"
"LEONARDO BELMIRO";"PDS";"377";"30.26";"AGUAS DE SAO PEDRO"
"SEBASTIAO ARA";"PDS";"298";"23.92";"AGUAS DE SAO PEDRO"
"LOURENCO SANTOS NETO";"PMDB";"293";"23.52";"AGUAS DE SAO PEDRO"
"BENEDITO ANTONIO ITIPAO";"PMDB";"114";"9.15";"AGUAS DE SAO PEDRO"
"THOMAZ AQUINO MACIEL NETO";"PMDB";"65";"5.22";"AGUAS DE SAO PEDRO"
"RUBENS APARECIDO BENAZZIO";"PTB";"3762";"34.99";"AGUDOS"
"ANTONIO CONDI";"PDS";"2023";"18.82";"AGUDOS"
"ANTONIO FERNANDO DAMANTE";"PDS";"1943";"18.07";"AGUDOS"
